desa  ,longitude,latitude,luas_sawah_ha,kec
Suwaru,112.611069,-8.214007,77,Pagelaran
Clumprit,112.622717,-8.227921,279,Pagelaran
Sidorejo,112.637727,-8.210555,125,Pagelaran
Pagelaran,112.616722,-8.198898,248,Pagelaran
Banjarejo,112.616967,-8.183687,283,Pagelaran
Brongkal,112.593518,-8.173273,320,Pagelaran
Karangsuko,112.59908,-8.165801,292,Pagelaran
Arjosari,112.399132,-8.212446,1,Kalipare
Tumpakrejo,112.435068,-8.229903,80,Kalipare
Putukrejo,112.458395,-8.238068,90,Kalipare
Sumberpetung,112.483974,-8.246625,60,Kalipare
Kalipare,112.470535,-8.205635,132,Kalipare
Sukowilangun,112.446426,-8.176892,75,Kalipare
Arjowinangun,112.423392,-8.18797,285,Kalipare
Kalirejo,112.388212,-8.172186,1,Kalipare
Kaliasri,112.434674,-8.25176,115,Kalipare
Sumberoto,112.375845,-8.330538,150,Donomulyo
Purworejo,112.424352,-8.275314,170,Donomulyo
Donomulyo,112.424352,-8.275314,412.29,Donomulyo
Tempursari,112.438077,-8.304997,251,Donomulyo
Tlogosari,112.471698,-8.276795,116,Donomulyo
Kedungsalam,112.44112,-8.342691,135,Donomulyo
Banjarjo,112.474793,-8.345366,180,Donomulyo
Tulungrejo,112.482306,-8.359055,295,Donomulyo
Mentaraman,112.4236708,-8.3074658,167.71,Donomulyo
Purwodadi,112.6471579,-7.9353138,140,Donomulyo
Sumbermanjing Kulon,112.48292,-8.300143,267,Pagak
Pandanrejo,112.515309,-8.284676,112,Pagak
Sumberkerto,112.532883,-8.273758,1,Pagak
Sempol,112.506304,-8.254206,80,Pagak
Pagak,112.511264,-8.235336,17,Pagak
Sumberejo,112.541991,-8.22194,10,Pagak
Gampingan,112.530435,-8.194923,9,Pagak
Tlogorejo,112.507235,-8.196447,35,Pagak
Bandungrejo,112.517974,-8.331231,172,Bantur
Sumberbening,112.533236,-8.345398,210,Bantur
Srigonco,112.554235,-8.365613,201,Bantur
Wonorejo,112.569296,-8.323844,156,Bantur
Bantur,112.58051,-8.305421,401,Bantur
Pringgodani,112.566237,-8.28459,68,Bantur
Rejosari,112.590048,-8.274994,46,Bantur
Wonokerto,112.589942,-8.242328,85,Bantur
Rejoyoso,112.578102,-8.222695,65.2,Bantur
Karangsari,112.554521,-8.245129,10,Bantur
Tumpakrejo,112.589339,-8.340664,37,Gedangan
Sindurejo,112.614636,-8.362082,56,Gedangan
Gajahrejo,112.626104,-8.386407,132,Gedangan
Sidodadi,112.64945,-8.389148,214,Gedangan
Gedangan,112.638039,-8.288193,129,Gedangan
Segaran,112.637759,-8.27031,38,Gedangan
Sumberejo,112.61461,-8.249376,78,Gedangan
Girimulyo,112.6141707,-8.3063208,77,Gedangan
Sitiarjo,112.673694,-8.399382,375,Sumbermanjingwetan
Tambakrejo,112.697731,-8.406806,79,Sumbermanjingwetan
Kedungbanteng,112.721427,-8.367117,52,Sumbermanjingwetan
Tambakasri,112.744488,-8.36207,1,Sumbermanjingwetan
Tegalrejo,112.744525,-8.312557,3,Sumbermanjingwetan
Ringinkembar,112.721258,-8.307767,1,Sumbermanjingwetan
Sumberagung,112.685217,-8.348941,33,Sumbermanjingwetan
Harjokuncaran,112.697401,-8.298933,38,Sumbermanjingwetan
Argotirto,112.676366,-8.312649,19.8,Sumbermanjingwetan
Ringinsari,112.670545,-8.281147,35,Sumbermanjingwetan
Druju,112.673314,-8.246877,21,Sumbermanjingwetan
Sumbermanjing Wetan,112.693935,-8.248525,1,Sumbermanjingwetan
Klepu,112.732932,-8.254042,21,Sumbermanjingwetan
Sekarbanyu,112.753392,-8.265405,10,Sumbermanjingwetan
Sidoasri,112.776254,-8.362294,315,Sumbermanjingwetan
Kelurahan Dampit,112.755643,-8.207739,112,Dampit
Sukodono,112.780902,-8.313872,1,Dampit
Srimulyo,112.791247,-8.28961,1,Dampit
Baturetno,112.795621,-8.269654,1,Dampit
Bumirejo,112.780984,-8.240956,70,Dampit
Sumbersuko,112.744483,-8.240369,20,Dampit
Amadanom,112.784217,-8.207765,99,Dampit
Pamotan,112.744877,-8.192084,357,Dampit
Majangtengah,112.720577,-8.222103,164,Dampit
Rembun,112.706273,-8.207549,138,Dampit
Pojok,112.724234,-8.176661,147,Dampit
Jambangan,112.744303,-8.159149,192,Dampit
Purwodadi,112.82168,-8.345433,54,Tirtoyudo
Pujiharjo,112.887774,-8.376383,153,Tirtoyudo
Sumbertangkil,112.864297,-8.295463,6,Tirtoyudo
Kepatihan,112.828214,-8.279753,4.997,Tirtoyudo
Jogomulyan,112.840405,-8.257859,7.5,Tirtoyudo
Tirtoyudo,112.816817,-8.249451,33.5,Tirtoyudo
Gadungsari,112.801803,-8.223024,48.429,Tirtoyudo
Tlogosari,112.837411,-8.23126,9,Tirtoyudo
Sukorejo,112.837156,-8.209582,5,Tirtoyudo
Ampelgading,112.831608,-8.193685,5,Tirtoyudo
Tamankuncaran,112.807413,-8.201196,152,Tirtoyudo
Wonoagung,112.795973,-8.182016,27,Tirtoyudo
Tamansatrian,112.829187,-8.153746,2,Tirtoyudo
Lebakharjo,112.903129,-8.299886,348,Ampelgading
Wirotaman,112.86103,-8.264423,7,Ampelgading
Tamanasri,112.855392,-8.230251,1,Ampelgading
Sonowangi,112.876203,-8.257199,27,Ampelgading
Tirtomarto,112.876591,-8.235262,5,Ampelgading
Purwoharjo,112.903026,-8.251717,20,Ampelgading
Sidorenggo,112.908588,-8.219197,1,Ampelgading
Tirtomoyo,112.89034,-8.221754,1,Ampelgading
Tawangagung,112.872968,-8.217388,1,Ampelgading
Simojayan,112.855246,-8.203203,1,Ampelgading
Argoyuwono,112.90004,-8.191165,1,Ampelgading
Mulyosari,112.873102,-8.183528,1,Ampelgading
Tamansari,112.887921,-8.132899,1,Ampelgading
